수강번호,학습자ID,이름,부서,직급,회사,강좌ID,강좌명,카테고리,강사명,난이도,등록일,시작일,완료일,학습시간(시간),진행률(%),시험점수,과제점수,참여도,합격여부
E00174,L0038,직원38,재무팀,과장,회사3,C019,직무 스킬 강좌 19,직무 스킬,한강사,중급,2026-03-07,2026-03-07,2026-04-23,4,100,89.0,98.0,낮음,합격
E00175,L0076,직원76,기획팀,대리,회사1,C016,기본소양 강좌 16,리더십,정강사,중급,2026-02-22,2026-02-22,2026-03-26,4,100,68.0,76.0,높음,합격
E00176,L0183,직원183,영업팀,대리,회사1,C033,리더십 강좌 33,리더십,정강사,중급,2026-06-01,2026-06-01,,4,39,,,,
E00177,L0040,직원40,영업팀,부장,회사1,C045,기술 강좌 45,언어,한강사,초급,2025-09-15,,,2,0,,,,
E00178,L0120,직원120,기획팀,과장,회사2,C040,언어 강좌 40,리더십,김강사,고급,2025-10-02,2025-10-02,2025-11-06,4,100,98.0,91.0,낮음,합격
E00179,L0018,직원18,기획팀,주임,회사2,C039,언어 강좌 39,언어,박강사,중급,2025-10-02,2025-10-02,,6,93,,,,
E00180,L0019,직원19,재무팀,주임,회사2,C035,기본소양 강좌 35,직장 예절,한강사,초급,2025-12-29,2025-12-29,2026-01-06,2,100,96.0,74.0,낮음,합격
E00181,L0049,직원49,마케팅팀,사원,회사1,C046,기술 강좌 46,기본소양,이강사,초급,2025-09-12,2025-09-12,,4,23,,,,
E00182,L0086,직원86,인사팀,과장,회사2,C035,기본소양 강좌 35,직장 예절,한강사,초급,2025-07-16,2025-07-16,2025-08-08,2,100,76.0,92.0,보통,합격
E00183,L0052,직원52,인사팀,사원,회사1,C045,기술 강좌 45,언어,한강사,초급,2025-12-29,2025-12-29,,2,30,,,,
E00184,L0001,직원1,마케팅팀,부장,회사3,C042,직무 스킬 강좌 42,직무 스킬,김강사,고급,2026-05-24,2026-05-24,2026-07-04,2,100,90.0,81.0,보통,합격
E00185,L0119,직원119,마케팅팀,부장,회사1,C024,직무 스킬 강좌 24,언어,한강사,중급,2025-12-23,2025-12-23,2026-01-17,10,100,77.0,86.0,높음,합격
E00186,L0186,직원186,인사팀,사원,회사3,C041,직장 예절 강좌 41,언어,한강사,고급,2025-12-12,2025-12-12,2025-12-17,2,100,67.0,92.0,낮음,합격
E00187,L0070,직원70,인사팀,사원,회사3,C047,직무 스킬 강좌 47,기본소양,한강사,고급,2026-04-19,2026-04-19,2026-06-15,10,100,79.0,70.0,높음,합격
E00188,L0140,직원140,인사팀,대리,회사2,C040,언어 강좌 40,리더십,김강사,고급,2026-01-01,,,4,0,,,,
E00189,L0119,직원119,마케팅팀,부장,회사1,C014,직장 예절 강좌 14,언어,김강사,초급,2025-09-19,2025-09-19,,4,24,,,,
E00190,L0188,직원188,인사팀,대리,회사1,C025,기술 강좌 25,기본소양,박강사,중급,2025-07-12,2025-07-12,2025-09-06,12,100,91.0,72.0,보통,합격
E00191,L0093,직원93,영업팀,대리,회사2,C004,기술 강좌 4,기본소양,이강사,초급,2025-10-28,2025-10-28,,6,85,,,,
E00192,L0193,직원193,재무팀,부장,회사2,C039,언어 강좌 39,언어,박강사,중급,2025-11-25,2025-11-25,,6,42,,,,
E00193,L0096,직원96,인사팀,대리,회사3,C013,직무 스킬 강좌 13,리더십,김강사,중급,2026-01-16,2026-01-16,2026-01-22,2,100,97.0,92.0,보통,불합격
E00194,L0028,직원28,개발팀,사원,회사2,C044,기술 강좌 44,언어,김강사,중급,2025-10-18,2025-10-18,2025-10-20,8,100,93.0,97.0,보통,합격
E00195,L0094,직원94,영업팀,주임,회사3,C020,직무 스킬 강좌 20,언어,최강사,중급,2025-10-16,2025-10-16,,2,92,,,,
E00196,L0145,직원145,인사팀,과장,회사3,C010,언어 강좌 10,언어,이강사,중급,2026-02-08,2026-02-08,2026-04-02,8,100,76.0,85.0,낮음,합격
E00197,L0012,직원12,개발팀,부장,회사3,C036,기본소양 강좌 36,언어,박강사,중급,2025-11-07,2025-11-07,,2,61,,,,
E00198,L0018,직원18,기획팀,주임,회사2,C020,직무 스킬 강좌 20,언어,최강사,중급,2026-02-05,2026-02-05,2026-03-15,2,100,81.0,93.0,낮음,합격
E00199,L0084,직원84,인사팀,부장,회사3,C042,직무 스킬 강좌 42,직무 스킬,김강사,고급,2025-09-06,2025-09-06,2025-09-13,2,100,77.0,73.0,낮음,합격
E00200,L0011,직원11,마케팅팀,사원,회사1,C048,기술 강좌 48,언어,정강사,고급,2025-09-20,2025-09-20,,10,72,,,,
E00201,L0063,직원63,마케팅팀,사원,회사3,C023,리더십 강좌 23,직장 예절,박강사,중급,2026-01-16,2026-01-16,,10,41,,,,
E00202,L0006,직원6,마케팅팀,부장,회사2,C024,직무 스킬 강좌 24,언어,한강사,중급,2025-06-11,,,10,0,,,,
E00203,L0019,직원19,재무팀,주임,회사2,C029,직장 예절 강좌 29,리더십,박강사,초급,2026-06-10,2026-06-10,,10,70,,,,
E00204,L0156,직원156,인사팀,주임,회사2,C041,직장 예절 강좌 41,언어,한강사,고급,2026-05-19,2026-05-19,2026-06-02,2,100,69.0,72.0,낮음,합격
E00205,L0099,직원99,인사팀,과장,회사1,C023,리더십 강좌 23,직장 예절,박강사,중급,2025-08-15,,,10,0,,,,
E00206,L0039,직원39,개발팀,대리,회사2,C047,직무 스킬 강좌 47,기본소양,한강사,고급,2025-11-24,2025-11-24,2026-01-07,10,100,87.0,89.0,낮음,합격
E00207,L0103,직원103,영업팀,사원,회사2,C018,기본소양 강좌 18,직장 예절,박강사,고급,2025-12-06,2025-12-06,2025-12-17,2,100,70.0,86.0,높음,합격
E00208,L0041,직원41,재무팀,과장,회사2,C028,직무 스킬 강좌 28,기본소양,한강사,중급,2025-11-17,2025-11-17,2025-12-31,6,100,96.0,97.0,높음,합격
E00209,L0106,직원106,마케팅팀,부장,회사3,C045,기술 강좌 45,언어,한강사,초급,2025-12-04,,,2,0,,,,
E00210,L0075,직원75,재무팀,주임,회사2,C006,리더십 강좌 6,기본소양,정강사,초급,2026-01-04,2026-01-04,,4,22,,,,
E00211,L0137,직원137,개발팀,부장,회사1,C019,직무 스킬 강좌 19,직무 스킬,한강사,중급,2025-09-12,,,4,0,,,,
E00212,L0064,직원64,영업팀,사원,회사1,C039,언어 강좌 39,언어,박강사,중급,2025-06-21,2025-06-21,2025-07-19,6,100,64.0,89.0,보통,합격
E00213,L0192,직원192,재무팀,대리,회사1,C021,언어 강좌 21,리더십,최강사,중급,2025-10-06,2025-10-06,2025-12-01,12,100,73.0,76.0,높음,합격
E00214,L0132,직원132,영업팀,부장,회사3,C003,직장 예절 강좌 3,직장 예절,이강사,초급,2026-01-15,2026-01-15,2026-03-15,8,100,76.0,77.0,보통,합격
E00215,L0158,직원158,기획팀,대리,회사1,C027,기술 강좌 27,기술,박강사,고급,2026-04-15,2026-04-15,2026-05-31,8,100,61.0,75.0,낮음,합격
E00216,L0125,직원125,영업팀,사원,회사1,C034,기술 강좌 34,직무 스킬,정강사,초급,2025-07-01,2025-07-01,2025-07-10,2,100,66.0,71.0,보통,합격
E00217,L0008,직원8,인사팀,대리,회사3,C009,직장 예절 강좌 9,언어,이강사,중급,2025-11-24,2025-11-24,2025-12-18,10,100,65.0,74.0,낮음,합격
E00218,L0043,직원43,마케팅팀,사원,회사2,C034,기술 강좌 34,직무 스킬,정강사,초급,2026-05-15,2026-05-15,,2,43,,,,
E00219,L0144,직원144,기획팀,부장,회사3,C020,직무 스킬 강좌 20,언어,최강사,중급,2026-02-27,2026-02-27,2026-03-11,2,100,72.0,74.0,높음,합격
E00220,L0027,직원27,개발팀,대리,회사3,C033,리더십 강좌 33,리더십,정강사,중급,2025-10-01,2025-10-01,2025-11-09,4,100,96.0,70.0,보통,합격
E00221,L0193,직원193,재무팀,부장,회사2,C018,기본소양 강좌 18,직장 예절,박강사,고급,2025-10-17,2025-10-17,2025-11-08,2,100,92.0,76.0,높음,합격
E00222,L0079,직원79,개발팀,사원,회사1,C014,직장 예절 강좌 14,언어,김강사,초급,2025-08-27,2025-08-27,,4,66,,,,
E00223,L0169,직원169,마케팅팀,부장,회사1,C024,직무 스킬 강좌 24,언어,한강사,중급,2026-05-07,2026-05-07,2026-06-22,10,100,96.0,76.0,낮음,합격
E00224,L0176,직원176,기획팀,과장,회사1,C020,직무 스킬 강좌 20,언어,최강사,중급,2026-04-04,2026-04-04,2026-05-30,2,100,62.0,77.0,높음,합격
E00225,L0070,직원70,인사팀,사원,회사3,C014,직장 예절 강좌 14,언어,김강사,초급,2025-12-29,2025-12-29,2026-01-04,4,100,67.0,73.0,높음,합격
E00226,L0006,직원6,마케팅팀,부장,회사2,C016,기본소양 강좌 16,리더십,정강사,중급,2025-11-12,2025-11-12,2025-12-17,4,100,96.0,78.0,낮음,합격
E00227,L0129,직원129,재무팀,과장,회사1,C017,직장 예절 강좌 17,기본소양,박강사,초급,2026-03-02,2026-03-02,2026-04-15,8,100,81.0,77.0,높음,합격
E00228,L0006,직원6,마케팅팀,부장,회사2,C042,직무 스킬 강좌 42,직무 스킬,김강사,고급,2026-01-23,2026-01-23,2026-02-01,2,100,65.0,89.0,높음,합격
E00229,L0071,직원71,개발팀,과장,회사2,C024,직무 스킬 강좌 24,언어,한강사,중급,2026-04-17,2026-04-17,2026-05-05,10,100,89.0,73.0,낮음,불합격
E00230,L0076,직원76,기획팀,대리,회사1,C041,직장 예절 강좌 41,언어,한강사,고급,2026-03-30,2026-03-30,,2,21,,,,
E00231,L0053,직원53,영업팀,주임,회사2,C023,리더십 강좌 23,직장 예절,박강사,중급,2025-12-20,2025-12-20,,10,78,,,,
E00232,L0090,직원90,마케팅팀,사원,회사3,C037,직장 예절 강좌 37,직무 스킬,한강사,초급,2026-05-31,2026-05-31,2026-07-15,8,100,88.0,80.0,낮음,합격
E00233,L0167,직원167,인사팀,과장,회사1,C027,기술 강좌 27,기술,박강사,고급,2025-11-15,2025-11-15,2025-12-23,8,100,90.0,80.0,보통,합격
E00234,L0057,직원57,인사팀,부장,회사2,C012,기본소양 강좌 12,리더십,김강사,중급,2026-03-28,2026-03-28,2026-05-22,12,100,91.0,86.0,높음,합격
E00235,L0091,직원91,재무팀,부장,회사3,C014,직장 예절 강좌 14,언어,김강사,초급,2025-09-06,2025-09-06,2025-10-12,4,100,66.0,98.0,높음,합격
E00236,L0047,직원47,재무팀,사원,회사2,C041,직장 예절 강좌 41,언어,한강사,고급,2026-05-17,2026-05-17,,2,64,,,,
E00237,L0179,직원179,인사팀,과장,회사3,C034,기술 강좌 34,직무 스킬,정강사,초급,2025-07-30,2025-07-30,2025-08-17,2,100,88.0,95.0,보통,합격
E00238,L0025,직원25,인사팀,사원,회사1,C046,기술 강좌 46,기본소양,이강사,초급,2025-08-12,2025-08-12,,4,98,,,,
E00239,L0057,직원57,인사팀,부장,회사2,C027,기술 강좌 27,기술,박강사,고급,2026-03-13,2026-03-13,2026-05-11,8,100,78.0,84.0,낮음,합격
E00240,L0056,직원56,마케팅팀,대리,회사3,C001,언어 강좌 1,언어,한강사,고급,2025-06-16,2025-06-16,2025-07-29,4,100,92.0,78.0,높음,불합격
E00241,L0026,직원26,인사팀,과장,회사3,C014,직장 예절 강좌 14,언어,김강사,초급,2025-12-28,,,4,0,,,,
E00242,L0032,직원32,개발팀,대리,회사1,C045,기술 강좌 45,언어,한강사,초급,2025-12-06,2025-12-06,2025-12-24,2,100,79.0,70.0,높음,합격
E00243,L0180,직원180,기획팀,사원,회사1,C002,기술 강좌 2,리더십,한강사,중급,2025-11-07,2025-11-07,,4,54,,,,
E00244,L0106,직원106,마케팅팀,부장,회사3,C043,직장 예절 강좌 43,기본소양,한강사,고급,2025-07-27,2025-07-27,2025-09-04,6,100,90.0,94.0,보통,합격
E00245,L0052,직원52,인사팀,사원,회사1,C015,직장 예절 강좌 15,언어,최강사,중급,2026-05-27,2026-05-27,2026-06-16,12,100,78.0,78.0,낮음,합격
E00246,L0085,직원85,마케팅팀,대리,회사1,C040,언어 강좌 40,리더십,김강사,고급,2026-04-27,,,4,0,,,,
E00247,L0134,직원134,영업팀,주임,회사2,C017,직장 예절 강좌 17,기본소양,박강사,초급,2026-04-03,2026-04-03,2026-05-30,8,100,90.0,73.0,보통,불합격
E00248,L0178,직원178,영업팀,과장,회사1,C038,직무 스킬 강좌 38,언어,한강사,중급,2025-11-21,2025-11-21,2025-12-20,8,100,75.0,85.0,높음,합격
E00249,L0057,직원57,인사팀,부장,회사2,C038,직무 스킬 강좌 38,언어,한강사,중급,2025-07-27,2025-07-27,,8,15,,,,
E00250,L0098,직원98,개발팀,주임,회사2,C004,기술 강좌 4,기본소양,이강사,초급,2026-06-06,2026-06-06,,6,95,,,,
E00251,L0060,직원60,재무팀,대리,회사3,C049,리더십 강좌 49,직장 예절,박강사,중급,2025-09-18,2025-09-18,,6,14,,,,
E00252,L0044,직원44,인사팀,사원,회사2,C011,언어 강좌 11,기본소양,김강사,초급,2025-07-02,2025-07-02,,10,52,,,,
E00253,L0143,직원143,기획팀,사원,회사1,C042,직무 스킬 강좌 42,직무 스킬,김강사,고급,2026-01-27,2026-01-27,,2,67,,,,
E00254,L0009,직원9,영업팀,과장,회사3,C006,리더십 강좌 6,기본소양,정강사,초급,2026-01-17,2026-01-17,2026-02-15,4,100,97.0,77.0,보통,합격
E00255,L0122,직원122,기획팀,부장,회사2,C030,기본소양 강좌 30,기술,박강사,초급,2025-08-26,2025-08-26,,8,64,,,,
E00256,L0029,직원29,영업팀,사원,회사3,C049,리더십 강좌 49,직장 예절,박강사,중급,2025-10-03,2025-10-03,,6,68,,,,
E00257,L0144,직원144,기획팀,부장,회사3,C018,기본소양 강좌 18,직장 예절,박강사,고급,2025-08-31,2025-08-31,2025-09-28,2,100,78.0,88.0,낮음,불합격
E00258,L0017,직원17,개발팀,사원,회사2,C003,직장 예절 강좌 3,직장 예절,이강사,초급,2025-06-24,2025-06-24,,8,72,,,,
E00259,L0183,직원183,영업팀,대리,회사1,C015,직장 예절 강좌 15,언어,최강사,중급,2026-03-09,2026-03-09,,12,62,,,,
E00260,L0103,직원103,영업팀,사원,회사2,C010,언어 강좌 10,언어,이강사,중급,2025-09-21,2025-09-21,2025-09-26,8,100,63.0,74.0,보통,합격
E00261,L0162,직원162,개발팀,주임,회사3,C021,언어 강좌 21,리더십,최강사,중급,2026-04-16,2026-04-16,2026-05-01,12,100,91.0,72.0,낮음,합격
E00262,L0198,직원198,기획팀,대리,회사1,C007,직장 예절 강좌 7,직장 예절,박강사,고급,2025-11-06,2025-11-06,,2,30,,,,
E00263,L0157,직원157,영업팀,부장,회사1,C026,직무 스킬 강좌 26,직장 예절,박강사,고급,2026-03-06,2026-03-06,,10,32,,,,
E00264,L0102,직원102,기획팀,부장,회사2,C003,직장 예절 강좌 3,직장 예절,이강사,초급,2025-07-05,2025-07-05,,8,87,,,,
E00265,L0162,직원162,개발팀,주임,회사3,C017,직장 예절 강좌 17,기본소양,박강사,초급,2025-10-07,2025-10-07,,8,36,,,,
E00266,L0112,직원112,인사팀,과장,회사2,C038,직무 스킬 강좌 38,언어,한강사,중급,2025-10-17,2025-10-17,,8,46,,,,
E00267,L0119,직원119,마케팅팀,부장,회사1,C050,언어 강좌 50,기술,박강사,중급,2025-09-27,2025-09-27,,12,65,,,,
E00268,L0107,직원107,개발팀,과장,회사1,C049,리더십 강좌 49,직장 예절,박강사,중급,2025-11-30,2025-11-30,,6,59,,,,
E00269,L0113,직원113,영업팀,사원,회사2,C003,직장 예절 강좌 3,직장 예절,이강사,초급,2025-12-24,2025-12-24,,8,42,,,,
E00270,L0137,직원137,개발팀,부장,회사1,C002,기술 강좌 2,리더십,한강사,중급,2026-05-24,2026-05-24,,4,13,,,,
E00271,L0032,직원32,개발팀,대리,회사1,C008,직장 예절 강좌 8,기본소양,최강사,초급,2026-01-02,,,8,0,,,,
E00272,L0097,직원97,재무팀,주임,회사2,C021,언어 강좌 21,리더십,최강사,중급,2025-10-07,2025-10-07,2025-11-04,12,100,77.0,99.0,높음,합격
E00273,L0026,직원26,인사팀,과장,회사3,C008,직장 예절 강좌 8,기본소양,최강사,초급,2025-08-29,,,8,0,,,,
E00274,L0054,직원54,재무팀,사원,회사2,C021,언어 강좌 21,리더십,최강사,중급,2025-08-27,2025-08-27,2025-09-20,12,100,74.0,80.0,높음,합격
E00275,L0061,직원61,마케팅팀,대리,회사3,C043,직장 예절 강좌 43,기본소양,한강사,고급,2026-03-25,2026-03-25,,6,85,,,,
E00276,L0132,직원132,영업팀,부장,회사3,C048,기술 강좌 48,언어,정강사,고급,2026-01-05,2026-01-05,2026-01-23,10,100,94.0,83.0,보통,합격
E00277,L0143,직원143,기획팀,사원,회사1,C023,리더십 강좌 23,직장 예절,박강사,중급,2026-04-20,2026-04-20,2026-04-30,10,100,73.0,87.0,낮음,합격
E00278,L0013,직원13,영업팀,과장,회사2,C050,언어 강좌 50,기술,박강사,중급,2026-03-22,2026-03-22,,12,68,,,,
E00279,L0163,직원163,기획팀,대리,회사1,C026,직무 스킬 강좌 26,직장 예절,박강사,고급,2025-06-29,2025-06-29,2025-07-26,10,100,94.0,84.0,낮음,합격
E00280,L0173,직원173,영업팀,사원,회사2,C017,직장 예절 강좌 17,기본소양,박강사,초급,2025-11-19,2025-11-19,2025-11-26,8,100,80.0,73.0,낮음,합격
E00281,L0176,직원176,기획팀,과장,회사1,C006,리더십 강좌 6,기본소양,정강사,초급,2025-09-08,2025-09-08,,4,21,,,,
E00282,L0136,직원136,마케팅팀,주임,회사1,C049,리더십 강좌 49,직장 예절,박강사,중급,2026-03-03,2026-03-03,2026-04-05,6,100,99.0,98.0,낮음,합격
E00283,L0125,직원125,영업팀,사원,회사1,C035,기본소양 강좌 35,직장 예절,한강사,초급,2025-08-29,2025-08-29,2025-10-14,2,100,70.0,91.0,높음,합격
E00284,L0022,직원22,재무팀,주임,회사2,C010,언어 강좌 10,언어,이강사,중급,2026-05-15,2026-05-15,2026-06-05,8,100,64.0,82.0,보통,불합격
E00285,L0114,직원114,기획팀,사원,회사1,C005,기술 강좌 5,리더십,김강사,초급,2025-08-29,2025-08-29,,4,18,,,,
E00286,L0074,직원74,기획팀,사원,회사1,C001,언어 강좌 1,언어,한강사,고급,2025-06-14,2025-06-14,2025-06-29,4,100,78.0,96.0,보통,합격
E00287,L0164,직원164,영업팀,과장,회사2,C042,직무 스킬 강좌 42,직무 스킬,김강사,고급,2025-12-03,2025-12-03,2025-12-25,2,100,63.0,80.0,보통,합격
E00288,L0017,직원17,개발팀,사원,회사2,C003,직장 예절 강좌 3,직장 예절,이강사,초급,2025-09-27,2025-09-27,2025-11-25,8,100,75.0,93.0,보통,합격
E00289,L0118,직원118,재무팀,사원,회사2,C040,언어 강좌 40,리더십,김강사,고급,2025-07-21,2025-07-21,2025-09-02,4,100,65.0,93.0,낮음,합격
E00290,L0192,직원192,재무팀,대리,회사1,C043,직장 예절 강좌 43,기본소양,한강사,고급,2026-05-16,2026-05-16,,6,21,,,,
E00291,L0182,직원182,재무팀,대리,회사2,C039,언어 강좌 39,언어,박강사,중급,2025-07-03,2025-07-03,2025-08-03,6,100,64.0,85.0,보통,불합격
E00292,L0071,직원71,개발팀,과장,회사2,C003,직장 예절 강좌 3,직장 예절,이강사,초급,2025-10-29,2025-10-29,2025-11-21,8,100,80.0,94.0,보통,합격
E00293,L0105,직원105,재무팀,과장,회사1,C029,직장 예절 강좌 29,리더십,박강사,초급,2026-01-20,2026-01-20,2026-01-22,10,100,95.0,94.0,보통,합격
E00294,L0174,직원174,인사팀,부장,회사2,C043,직장 예절 강좌 43,기본소양,한강사,고급,2026-03-08,2026-03-08,2026-03-12,6,100,89.0,83.0,낮음,합격
E00295,L0125,직원125,영업팀,사원,회사1,C046,기술 강좌 46,기본소양,이강사,초급,2026-05-01,2026-05-01,,4,77,,,,
E00296,L0172,직원172,마케팅팀,대리,회사1,C026,직무 스킬 강좌 26,직장 예절,박강사,고급,2025-06-16,2025-06-16,2025-06-21,10,100,71.0,77.0,높음,합격
E00297,L0156,직원156,인사팀,주임,회사2,C011,언어 강좌 11,기본소양,김강사,초급,2026-04-12,2026-04-12,,10,16,,,,
E00298,L0126,직원126,마케팅팀,주임,회사3,C048,기술 강좌 48,언어,정강사,고급,2026-04-26,2026-04-26,2026-05-28,10,100,75.0,71.0,높음,합격
E00299,L0149,직원149,재무팀,과장,회사3,C044,기술 강좌 44,언어,김강사,중급,2026-01-23,2026-01-23,2026-02-27,8,100,63.0,91.0,낮음,합격
E00300,L0118,직원118,재무팀,사원,회사2,C044,기술 강좌 44,언어,김강사,중급,2026-02-15,,,8,0,,,,
E00301,L0130,직원130,인사팀,주임,회사1,C034,기술 강좌 34,직무 스킬,정강사,초급,2026-03-05,2026-03-05,2026-03-14,2,100,79.0,79.0,높음,합격
E00302,L0155,직원155,기획팀,부장,회사2,C017,직장 예절 강좌 17,기본소양,박강사,초급,2025-09-20,2025-09-20,2025-09-29,8,100,76.0,96.0,보통,합격
E00303,L0158,직원158,기획팀,대리,회사1,C018,기본소양 강좌 18,직장 예절,박강사,고급,2025-12-18,2025-12-18,,2,71,,,,
E00304,L0073,직원73,마케팅팀,과장,회사3,C026,직무 스킬 강좌 26,직장 예절,박강사,고급,2026-04-25,2026-04-25,2026-06-13,10,100,62.0,80.0,낮음,합격
E00305,L0135,직원135,영업팀,대리,회사3,C034,기술 강좌 34,직무 스킬,정강사,초급,2026-03-20,2026-03-20,2026-05-10,2,100,85.0,90.0,높음,합격
E00306,L0065,직원65,인사팀,주임,회사3,C017,직장 예절 강좌 17,기본소양,박강사,초급,2025-08-05,2025-08-05,,8,92,,,,
E00307,L0112,직원112,인사팀,과장,회사2,C020,직무 스킬 강좌 20,언어,최강사,중급,2026-04-15,2026-04-15,2026-05-26,2,100,83.0,88.0,보통,합격
E00308,L0003,직원3,개발팀,대리,회사1,C042,직무 스킬 강좌 42,직무 스킬,김강사,고급,2025-09-06,2025-09-06,2025-10-14,2,100,65.0,82.0,보통,합격
E00309,L0163,직원163,기획팀,대리,회사1,C046,기술 강좌 46,기본소양,이강사,초급,2026-05-15,2026-05-15,,4,74,,,,
E00310,L0188,직원188,인사팀,대리,회사1,C018,기본소양 강좌 18,직장 예절,박강사,고급,2026-03-20,2026-03-20,,2,55,,,,
E00311,L0183,직원183,영업팀,대리,회사1,C047,직무 스킬 강좌 47,기본소양,한강사,고급,2025-07-11,2025-07-11,,10,23,,,,
E00312,L0050,직원50,영업팀,과장,회사2,C007,직장 예절 강좌 7,직장 예절,박강사,고급,2026-02-25,2026-02-25,,2,28,,,,
E00313,L0187,직원187,인사팀,대리,회사2,C017,직장 예절 강좌 17,기본소양,박강사,초급,2026-05-19,2026-05-19,,8,84,,,,
E00314,L0069,직원69,기획팀,과장,회사3,C014,직장 예절 강좌 14,언어,김강사,초급,2026-01-23,2026-01-23,2026-03-08,4,100,72.0,94.0,높음,합격
E00315,L0151,직원151,영업팀,주임,회사3,C006,리더십 강좌 6,기본소양,정강사,초급,2026-05-04,2026-05-04,,4,86,,,,
E00316,L0136,직원136,마케팅팀,주임,회사1,C016,기본소양 강좌 16,리더십,정강사,중급,2025-07-11,2025-07-11,,4,33,,,,
E00317,L0164,직원164,영업팀,과장,회사2,C030,기본소양 강좌 30,기술,박강사,초급,2026-01-30,2026-01-30,,8,33,,,,
E00318,L0044,직원44,인사팀,사원,회사2,C036,기본소양 강좌 36,언어,박강사,중급,2026-04-25,2026-04-25,2026-04-28,2,100,88.0,77.0,보통,합격
E00319,L0107,직원107,개발팀,과장,회사1,C022,기술 강좌 22,직장 예절,이강사,초급,2026-03-04,2026-03-04,2026-04-15,2,100,62.0,80.0,보통,합격
E00320,L0106,직원106,마케팅팀,부장,회사3,C003,직장 예절 강좌 3,직장 예절,이강사,초급,2025-11-17,2025-11-17,,8,94,,,,
E00321,L0046,직원46,기획팀,대리,회사2,C018,기본소양 강좌 18,직장 예절,박강사,고급,2026-02-25,2026-02-25,2026-04-01,2,100,84.0,96.0,높음,합격
E00322,L0099,직원99,인사팀,과장,회사1,C013,직무 스킬 강좌 13,리더십,김강사,중급,2026-04-05,2026-04-05,,2,78,,,,
E00323,L0163,직원163,기획팀,대리,회사1,C006,리더십 강좌 6,기본소양,정강사,초급,2026-03-30,2026-03-30,2026-05-28,4,100,62.0,71.0,높음,합격
E00324,L0199,직원199,기획팀,과장,회사3,C035,기본소양 강좌 35,직장 예절,한강사,초급,2026-05-06,2026-05-06,,2,47,,,,
E00325,L0144,직원144,기획팀,부장,회사3,C025,기술 강좌 25,기본소양,박강사,중급,2025-11-10,2025-11-10,,12,17,,,,
E00326,L0197,직원197,마케팅팀,주임,회사2,C016,기본소양 강좌 16,리더십,정강사,중급,2025-09-05,2025-09-05,,4,70,,,,
E00327,L0046,직원46,기획팀,대리,회사2,C032,직장 예절 강좌 32,기술,정강사,고급,2025-08-10,2025-08-10,2025-09-01,6,100,60.0,75.0,높음,합격
E00328,L0072,직원72,인사팀,과장,회사1,C004,기술 강좌 4,기본소양,이강사,초급,2026-01-15,2026-01-15,2026-02-20,6,100,80.0,76.0,보통,합격
E00329,L0013,직원13,영업팀,과장,회사2,C002,기술 강좌 2,리더십,한강사,중급,2025-12-20,,,4,0,,,,
E00330,L0101,직원101,영업팀,대리,회사2,C033,리더십 강좌 33,리더십,정강사,중급,2026-02-02,2026-02-02,2026-02-10,4,100,73.0,83.0,보통,합격
E00331,L0130,직원130,인사팀,주임,회사1,C049,리더십 강좌 49,직장 예절,박강사,중급,2025-10-15,,,6,0,,,,
E00332,L0153,직원153,마케팅팀,사원,회사2,C003,직장 예절 강좌 3,직장 예절,이강사,초급,2026-01-16,2026-01-16,,8,38,,,,
E00333,L0135,직원135,영업팀,대리,회사3,C015,직장 예절 강좌 15,언어,최강사,중급,2025-09-13,2025-09-13,,12,40,,,,
E00334,L0019,직원19,재무팀,주임,회사2,C035,기본소양 강좌 35,직장 예절,한강사,초급,2025-12-25,2025-12-25,,2,72,,,,
E00335,L0015,직원15,재무팀,주임,회사3,C009,직장 예절 강좌 9,언어,이강사,중급,2026-03-30,2026-03-30,2026-04-03,10,100,86.0,92.0,낮음,합격
E00336,L0123,직원123,영업팀,부장,회사2,C035,기본소양 강좌 35,직장 예절,한강사,초급,2025-10-26,2025-10-26,2025-12-12,2,100,60.0,87.0,낮음,합격
E00337,L0017,직원17,개발팀,사원,회사2,C021,언어 강좌 21,리더십,최강사,중급,2025-06-27,2025-06-27,,12,60,,,,
E00338,L0005,직원5,영업팀,과장,회사2,C024,직무 스킬 강좌 24,언어,한강사,중급,2025-06-25,2025-06-25,2025-07-29,10,100,66.0,81.0,낮음,합격
E00339,L0108,직원108,영업팀,과장,회사2,C042,직무 스킬 강좌 42,직무 스킬,김강사,고급,2026-03-19,2026-03-19,,2,74,,,,
E00340,L0141,직원141,인사팀,부장,회사1,C034,기술 강좌 34,직무 스킬,정강사,초급,2026-05-14,,,2,0,,,,
E00341,L0033,직원33,기획팀,대리,회사1,C045,기술 강좌 45,언어,한강사,초급,2025-06-19,2025-06-19,2025-08-05,2,100,62.0,98.0,낮음,합격
E00342,L0073,직원73,마케팅팀,과장,회사3,C049,리더십 강좌 49,직장 예절,박강사,중급,2025-10-29,2025-10-29,2025-12-15,6,100,96.0,94.0,보통,합격
E00343,L0182,직원182,재무팀,대리,회사2,C019,직무 스킬 강좌 19,직무 스킬,한강사,중급,2026-04-27,2026-04-27,,4,81,,,,
E00344,L0117,직원117,마케팅팀,주임,회사3,C046,기술 강좌 46,기본소양,이강사,초급,2025-06-15,2025-06-15,,4,13,,,,
